"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"138","Aparicio, Jos%C3%A9",1773,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q2563287"," painter ",4105,24,8,4097,6,8,2629,11,8,1.75057701581607
"139","Appiani, Andrea",1754,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q493349"," painter ",6919,71,15,4370,27,15,16025,78,15,3.89098114284189
"140"," Arnold ,  Michael ",1824,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1406125"," sculptor ",NA,NA,NA,13482,50,1,NA,NA,NA,1.15806237699806
"141"," Bayeu ,  Francisco ",1734,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q2571452"," painter ",2949,57,12,2303,11,12,7233,48,12,2.59305047851242
"142"," Benefial ,  Marco ",1684,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q466471"," painter ",4750,45,6,5560,17,6,5853,27,6,1.91408021281113
"143"," Benoist ,  Marie ",1768,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q118810"," painter ",5815,46,13,4456,18,13,15750,61,13,3.35678243431209
"144"," Benvenuti ,  Pietro ",1769,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q447308"," painter ",4262,46,6,4941,19,6,4027,35,6,1.84384209951372
"145","Berczy, William",1744," Canada ","https://www.wikidata.org/wiki/Special:EntityPage/Q92539"," painter ",11381,97,3,29108,12,3,NA,NA,NA,2.79362507018487
"146","Bison, Giuseppe",1762,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q485334"," painter ",4573,20,5,2163,13,5,2531,11,5,1.29113941228083
"147"," Blake ,  William ",1757,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q41513"," painter ",NA,NA,NA,50607,361,88,28029,645,88,17.2222308673575
"148"," Blondel ,  Jean-François ",1683,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3165470"," architect ",NA,NA,NA,6126,7,3,NA,NA,NA,0.536343739839592
"149","Bonington, Richard",1801,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q380395"," painter ",10457,370,21,6747,37,21,11863,91,21,5.83385909619769
"150"," Bouchet ,  Louis ",1759,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1871379"," painter ",3224,9,3,8845,16,3,5730,15,3,1.45784368691072
