"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"535","Crousaz, Jean-Pierre",1663,"Switzerland","https://www.wikidata.org/wiki/Special:EntityPage/Q115938","",NA,NA,NA,3588,23,6,NA,NA,NA,0.154719575680583
"536","Crusius, Christian",1715,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q63340","",NA,NA,NA,3576,53,10,6712,4,10,0.529359895441903
"537","Darjes, Joachim",1714,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q215282","",NA,NA,NA,11966,37,4,13641,2,4,0.533639439646876
"538","Derham, William",1657,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1398235","",7981,143,10,2924,23,11,NA,NA,NA,0.644471724416503
"539","Deschamps, L%C3%A9ger",1716,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q555664","",2230,10,7,4295,14,7,5145,34,7,0.580706819486599
"540","Desing ,  Anselm",1699,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q569518","",NA,NA,NA,3435,19,2,NA,NA,NA,0.0757515529523333
"541","Diderot ,  Denis",1713,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q448","",63767,2269,85,329312,1145,85,92380,2645,85,18.7986403438583
"542","Diez, Immanuel",1766,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1659917","",NA,NA,NA,4267,16,1,NA,NA,NA,0.0679299519598821
"543","Dreves, Georg",1774,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q18221738","",NA,NA,NA,2807,7,1,NA,NA,NA,0.0345010035994507
"544","Marsais, C%C3%A9sar",1676,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1150686","",4099,27,7,9347,29,7,8942,159,7,0.954759559343904
"545","Eberhard, Johann",1739,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q942414","",NA,NA,NA,11187,42,8,2091,9,8,0.512356190533002
"546","Eberstein, Wilhelm",1762,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1560926","",NA,NA,NA,3874,12,2,NA,NA,NA,0.0752524830220658
"547","Eckartshausen, Karl",1752,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q67274","",NA,NA,NA,4999,28,8,2481,14,8,0.409608746888478
"548","Edzardus, Sebastian",1673,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2262685","",NA,NA,NA,3074,22,1,NA,NA,NA,0.0551303660911246
"549","Endres, Johann",1730,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q969304","",NA,NA,NA,2347,13,1,NA,NA,NA,0.0335729560630201
"550","Ernesti, Johann",1652,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q105895","",6196,29,2,7210,46,2,NA,NA,NA,0.324226454740761
"551","Fabricius, Johann",1696,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1692348","",NA,NA,NA,4394,13,1,NA,NA,NA,0.0667258059487936
"552","Felice ,  Fortunato",1723,"Switzerland","https://www.wikidata.org/wiki/Special:EntityPage/Q3078548","",10128,21,5,9102,9,5,NA,NA,NA,0.479962770458273
"553","Ferber, Johann",1739,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q55119921","",NA,NA,NA,8616,14,1,NA,NA,NA,0.136191576258744
"554","Filangieri, Gaetano",1753,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q979054","",6860,188,9,6266,15,9,3928,23,9,0.891655230211778
"555","Findeisen, Christian",1738,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1079888","",NA,NA,NA,1539,8,1,NA,NA,NA,0.0150517050902025
"556","Fischer ,  Johann",1726,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q100326","",NA,NA,NA,2911,42,2,1212,4,2,0.149011844041783
